nit_entidad,orden_entidad,num_contratos,val_contratos,val_contratos_media,val_contratos_median,val_contratos_desv,num_familias_dif,num_grupos_dif,num_contratistas_dif,pnum_cont_cerrada,pval_cont_cerrada,pnum_ganadoras,IRCC,IRCCG,adicion
891408747,4,528,17027637526,32249313.49621212,5083200,144581448.3718663,58,4,228,0,0,43.18181818181818,19.62041627165132,Bajo,5.16729225777758
891409025,5,469,20829330451,44412218.445629,9109000,174705788.57742232,87,4,208,76.54584221748401,35.51421463307217,44.349680170575695,19.108550789518,Bajo,4.078572308105887
891410661,5,137,4580915853,33437341.99270073,14400000,70110654.72421068,41,4,71,97.08029197080292,66.63608896026582,51.82481751824818,21.180811747740876,Bajo,4.6415096004186145
891411663,5,1602,114998043343,71784047.03058676,15290801,270383579.60144657,116,4,363,0,0,22.659176029962545,14.822165596248112,Bajo,35.083655110592986
891411665,5,242,5824466933,24068045.17768595,11200000,43474786.09673448,4,2,79,0.8264462809917356,3.507173606611666,32.64462809917356,21.85433308521555,Bajo,0
891412134,5,733,30222135816,41230744.63301501,10528000,198008436.4755783,75,4,336,66.16643929058664,38.552447943906095,45.839017735334245,14.852572040236995,Bajo,4.414221351506489
891480036,5,199,13972786469,70215007.38190955,6231000,373792568.6443294,1,4,110,0,0,55.27638190954774,31.307214128307912,Bajo,0
891500084,5,7170,124929537968,17423924.4027894,5291650,71290568.63486084,132,4,752,0.01394700139470014,6.406811495652997e-4,10.488145048814506,8.290930851281054,Bajo,1.1809256873133682
891500736,5,811,27572476004,33998120.843403205,13712621,82209625.3661335,94,4,181,0.4932182490752158,0.188049850845742,22.318125770653513,26.47022756018682,Bajo,0.5035944918828075
891501676,5,1167,135252911907,115897953.64781491,39000000,231884660.79133028,63,5,310,0,0,26.563838903170524,11.491686500695094,Bajo,0.21863517752299913
891580002,6,1889,545043904019,288535682.3816834,52866688,897106387.8045361,120,5,450,0,0,23.82212811011117,13.686015727069746,Bajo,20.637549999511027
891600061,5,11,110797880,10072534.545454545,6600000,6178078.378644939,1,1,11,100,100,100,30.322722649198926,Bajo,0
891780056-0,4,543,2104082795,3874922.2744014733,1500000,10756307.08491241,53,4,184,0,0,33.88581952117864,9.658061766273812,Bajo,1.7109557979127872
891780185,4,7126,99605174268,13977711.797361774,6600000,71225171.4782788,81,4,1426,0.08419870895312938,0.3853906173259164,20.011226494527083,4.977668037482383,Bajo,7.708264128387484
891800231,5,3469,599453178168,172802876.38166618,38373286,934192607.4938807,127,4,729,0,0,21.01470164312482,12.643085028662528,Bajo,25.107552015547693
891800335,7,790,13416512787,16982927.57848101,6504400.5,53058362.678336315,70,4,246,0,0,31.139240506329113,13.846813506025146,Bajo,0
891800395,5,1008,51933234146,51521065.621031746,12918704,183787802.09863716,78,4,306,0,0,30.357142857142854,21.402877166273363,Bajo,29.147607574790122
891800570,5,2399,67714560045,28226160.91913297,12000000,77481525.66734882,6,4,554,99.37473947478117,95.75920895285793,23.092955398082534,9.580287337983153,Bajo,16.91459406146754
891800611,6,1476,64937852389,43995834.95189702,10374000,161005209.2894975,94,4,440,43.22493224932249,54.25316441781165,29.81029810298103,13.823132299266126,Bajo,12.127490862184212
891800644,5,430,8626646638,20061968.925581396,7602838,88292051.3436657,79,4,203,56.04651162790698,22.0202825351892,47.20930232558139,19.285692937049326,Bajo,1.490851611360501
891800857,5,298,3269700671,10972149.902684564,7000000,11665882.380802503,61,4,102,0,0,34.22818791946309,20.535898563155154,Bajo,22.746484195630654
891800906,5,341,10929595266,32051599.02052786,9527418,85964936.4569552,54,4,135,99.41348973607037,97.71832547380991,39.589442815249264,17.964465887537596,Bajo,9.882988474538235
891800982,5,513,13704087935,26713621.705653023,10000000,62815007.85022676,73,4,223,2.729044834307992,1.7951787610154444,43.46978557504873,14.475788441313034,Bajo,3.1192164444747235
891850229-5,5,10688,344069977978,32192176.08327096,8134003,193994767.23762217,82,4,2038,0,0,19.06811377245509,5.038982330247608,Bajo,39.85441568079639
891855039,6,1775,197083115980,111032741.3971831,34468913,243555086.7187182,77,4,417,0.5070422535211268,0.8171172796777901,23.492957746478872,10.864806721795244,Bajo,26.482444334114
891855209,6,794,19462831964,24512382.826196473,6000000,219683548.3403114,71,5,234,50.12594458438288,24.179193144679612,29.47103274559194,18.990257892418406,Bajo,11.988736705758155
891855438,5,1340,498624455858,372107802.8791045,29459760,5858431895.620787,125,4,428,0,0,31.94029850746269,26.906008819466532,Bajo,36.64033029701394
891855439,5,82,442919447,5401456.6707317075,4187462,5079518.180806868,15,2,51,37.80487804878049,27.26554474362468,62.19512195121951,12.332202679816936,Bajo,0
891855492,5,515,9863973548,19153346.69514563,10000000,33061424.842002302,62,5,225,22.135922330097088,25.007361516091525,43.689320388349515,8.767060847256005,Bajo,0
891855719,4,299,9608327925,32134876.00334448,8458000,273899033.4028452,39,4,148,1.0033444816053512,0.08138773011330168,49.49832775919732,29.016754641386118,Bajo,3.2341425805248334
891900343,4,632,39997459927,63287120.13765823,13500000,204379841.61082283,91,4,225,0,0,35.60126582278481,24.502656300676254,Bajo,0
891900367,5,1905,27951996405,14672963.992125984,9280000,19386488.81418632,80,4,489,0.05249343832020997,0.06010304150223362,25.669291338582678,2.956409302135807,Bajo,0
891900390,5,1589,13330715241,8389373.971680302,4200000,22248362.281183925,35,3,229,11.516677155443675,7.752439725225694,14.411579609817496,7.46993332368936,Bajo,0
891900438,5,180,9842309734,54679498.52222222,13059500,156875998.33957496,33,4,70,57.77777777777777,50.93655329380229,38.88888888888889,32.7726135859934,Bajo,0
891900446,5,56,4245850741,75818763.23214285,17068623,131999705.29030912,15,4,35,0,0,62.5,30.418259055322913,Bajo,1.0923921736541709
891900481,5,149,9194306776,61706756.88590604,13950000,143656381.3884948,23,3,67,1.342281879194631,0.870103662505855,44.966442953020135,31.904944975280667,Bajo,2.5836596094342865
891900650,5,1155,5605337131,4853105.741125541,3000000,7938036.914114489,29,3,217,35.75757575757576,43.3721401618225,18.787878787878785,7.440785530987082,Bajo,0.05549881355287478
891900732,5,594,7272716315,12243630.15993266,6600000,27506363.487633765,25,3,224,99.32659932659934,94.04968300348176,37.71043771043771,8.190392797127343,Bajo,6.5286770901330655
891900887,5,56,1641913012,29319875.214285713,15000000,42695037.45313086,11,3,23,98.21428571428571,95.73668035465937,41.07142857142857,44.60275941905691,Bajo,0
891901041,6,551,7616095292,13822314.504537204,5700000,51591304.587922886,52,5,209,81.12522686025409,64.23005121979506,37.93103448275862,15.397370317084228,Bajo,8.321511122640171
891901061,4,183,2446904140,13371060.87431694,8500000,18375119.137382776,29,4,80,100,100,43.71584699453552,15.462033054222738,Bajo,1.1285985479044736
891901082,5,320,5116198233,15988119.478125,4500000,39008486.382821165,45,4,77,0,0,24.0625,37.13023483082393,Bajo,0
891901101,5,115,1314246731,11428232.44347826,6000000,14254481.734373214,14,4,31,0,0,26.956521739130434,29.026561778770734,Bajo,10.236388752442226
891901123,4,1098,14097248466,12839024.103825137,6585000,28452941.647609144,89,5,345,0.18214936247723132,0.15505153401188554,31.420765027322407,5.669312759028047,Bajo,0.5328016248069736
891901158,5,25,2867530900,114701236,70000000,133382091.10651949,19,4,22,0,0,88,25.960019699476458,Bajo,0
891901296,5,177,5012292813,28318038.491525423,10000000,80887447.53565983,35,4,96,99.43502824858757,81.06676384630444,54.23728813559322,17.44131292750089,Bajo,22.727940183144824
89190745-8,5,343,6720597883,19593579.83381924,4612000,72158484.73103009,44,4,126,63.26530612244898,66.6866593869086,36.734693877551024,21.222698142984644,Bajo,0.7855545385104756
