codigo_entidad,ine_coberturaNeta_1,ine_coberturaNeta_2,ine_coberturaNeta_3,ine_tasaDesercion_1,ine_tasaDesercion_2,ine_tasaDesercion_3,ine_tasaRepitencia_1,ine_tasaRepitencia_2,ine_tasaRepitencia_3,ine_tasaAnalfabetismo_3,ine_porcentajeAsistencia_3,ine_pruebaLecturaMatematicas_1,ine_pruebaLecturaMatematicas_2,ine_pruebaLecturaMatematicas_3,ine_pruebaLecturaCritica_1,ine_pruebaLecturaCritica_2,ine_pruebaLecturaCritica_3
20710,8792,8342.5,8364.5,604.5,419.5,483,528.5,304.5,389.5,808,6702,5114.5,5256.5,5359,4981.5,5339.5,5321
20750,10810,11857.5,10836.5,307.5,613.5,735.5,16.5,88.5,97.5,1088,7415,4570,4530,4729,4616.5,5027,5157
20770,10433,10873,9680.5,530,534,539.5,264.5,303.5,194,1168,6394,4742.5,4942,4955,4846,5147,5164
20787,10519.5,10833,10515,205,227.5,250,72.5,33.5,60,1296,7319,4333.5,4286.5,4215,4346,4729,4569
23000,9134.5,8950,9102,218.5,303,243.5,331.5,352,315.5,1155,7252,4771.5,4757.5,4793,4715.5,5066,5043
23001,9879.5,9794.5,9790.5,306.5,319,280,489,320,410.5,0,0,5033,5178,5172,4995.5,5395.5,5414
23068,8575.5,8184,8752.5,164,307.5,202,369,456,297,1587,7009,4446.5,4257.5,4267,4426.5,4747.5,4672
23079,8863,8745.5,8823.5,175.5,463,228.5,121,361,222.5,1528,7084,4489.5,4451.5,4470,4520.5,4895,4708
23090,8542.5,8186,9629,161,313.5,244.5,543,491.5,389,1628,7670,4549,4418,4443,4492,4834,4811
23162,9927.5,9839,9727.5,203,267,212.5,291.5,373.5,213,853,7317,4879,4819,4846,4845,5164,5153
23168,8311,7899,7686,54.5,139.5,62,412.5,579,349.5,1943,7380,4388,4531.5,4461,4480.5,4976.5,4892
23182,9250,9225.5,9916,137.5,254,162.5,386.5,353,321,1348,7202,4935,5074,5095,4731.5,5179.5,5123
23189,8096.5,8099.5,8923.5,69.5,241,184,280,338.5,304,1682,6909,4694,4852,4876,4601,5032,5019
23300,10431.5,10191.5,9014.5,250,419.5,391.5,534.5,417,347.5,1230,6926,4555.5,4465,4498,4604,4898,4976
23350,7462,7349.5,7933.5,190,560,289.5,19.5,7.5,11,1539,6764,4692.5,4441,4725,4637,4863.5,4898
23417,8898.5,8842,9609.5,343.5,289,280,361,528,386,1153,7372,4554,4500.5,4616,4526,4852.5,4888
23419,6287,6200,7379.5,93,368.5,352,52.5,93,69,1482,6697,4463,4553.5,4464,4384,4824.5,4719
23464,9886.5,9800.5,8749,77,59.5,105.5,255,160.5,269,1324,7131,4550.5,4538.5,4718,4435,4798,4823
23466,9641,9416.5,9365,171.5,300.5,221,132,223,234,936,7271,4962.5,4887.5,4943,4952,5187.5,5224
23500,9128.5,8738.5,8281,142.5,244,191,139.5,150.5,98.5,1411,7136,4515,4442.5,4526,4464.5,4826.5,4782
23555,9516,9590,9940.5,216,287.5,302,297,315.5,295.5,1162,7350,4636,4592,4548,4619.5,4883.5,4843
23570,7286.5,6850,7268.5,192.5,267,210.5,334.5,493,397,1548,7153,4621.5,4772.5,4679,4600,5012.5,4819
23574,7437,6881.5,7643,97.5,268.5,236.5,243,175,133.5,1403,7202,4527.5,4355,4433,4441.5,4708,4650
