codigo_entidad,ine_coberturaNeta_m,ine_coberturaNeta_sd,ine_tasaDesercion_m,ine_tasaDesercion_sd,ine_tasaRepitencia_m,ine_tasaRepitencia_sd,ine_tasaAnalfabetismo_m,ine_porcentajeAsistencia_m,ine_pruebaLecturaMatematicas_m,ine_pruebaLecturaMatematicas_sd,ine_pruebaLecturaCritica_m,ine_pruebaLecturaCritica_sd
73319,8685.833333333334,149.31365197685932,317.8333333333333,125.143783971345,131.16666666666666,25.214413867204343,853,6880,4355.4,109.93770963595703,4570.6,119.39556105651499
73347,8481.333333333334,285.52944973621663,489.1666666666667,93.68760145647164,337.8333333333333,191.34201490176346,945,7363,5039.2,93.92922867776569,5159.8,234.40605794219567
73349,8583.833333333334,461.29834886618295,390.6666666666667,64.45670381478304,157,41.74685616905781,640,6763,4904.4,136.68503941543858,5069.2,183.50667562789098
73352,9480.5,158.96005787618472,392,71.24324529385224,40.5,34.59913293711274,826,7359,4806.4,138.01920156268113,4865.8,104.25545549274628
73408,9649.833333333334,147.07061795840346,332.3333333333333,137.23799279596983,105.66666666666667,50.5990777254553,845,6944,4658.2,71.6079604513353,4801.8,130.4365746253711
73411,9164.666666666666,624.9706126424398,399.5,45.346444182537624,142.66666666666666,34.783137677136985,838,7207,4987.2,87.87035905241312,5169.6,238.3700904056547
73443,10256.5,332.8391503414224,404.6666666666667,74.63153935613727,123.33333333333333,57.82617631027203,614,6919,4841.2,45.62017097732098,5068.8,151.5476822653517
73449,10627.833333333334,568.8913487360013,265,89.19641248391103,23.666666666666668,40.26743928618589,361,6677,4931,130.78226179417453,5085.4,257.02003812932566
73461,6593.833333333333,405.41702809165116,332.1666666666667,159.1356863392579,280.1666666666667,141.36678063345244,966,7140,4903.4,255.49814089343195,5009.6,347.86894083835654
73483,7558.166666666667,1586.8163619860575,441.5,130.85373513965888,82.5,53.365719333669624,1008,7069,4388.2,109.33983720492728,4526,141.17896443875767
73504,8675,463.5005933113786,268.5,88.03578817730889,44.333333333333336,16.89575883666273,1013,6987,4285.8,142.39978932568687,4511.8,116.89183033899333
73520,8322.666666666666,253.04439663163194,303.8333333333333,127.45260557033217,73.66666666666667,27.449347290357682,901,6798,4817.8,176.00340905789298,4923.2,162.36132544420792
73547,7487.166666666667,351.0404060313665,224.5,96.18471812091565,116.66666666666667,131.0002544526791,934,6570,4790.6,202.037867737709,4919.6,41.54274906647368
73555,8314,739.481980848756,696.1666666666666,66.06789437137122,35,28.263050083103202,984,6388,4428.6,100.97177823530691,4690.2,69.39524479386178
73563,11102.333333333334,630.9854726272758,436.6666666666667,137.57858360466815,61.166666666666664,45.32291546962382,1076,7720,4705,114.42683251755246,4777,120.2102325095497
73585,7823.166666666667,967.6667642668455,338.6666666666667,45.924575846344695,63.166666666666664,73.57830296131236,866,7116,4463.2,42.493528919118965,4663,146.28226139898166
73616,7243.833333333333,430.2322241146828,595.5,69.87631930775976,37.666666666666664,23.32952349849149,1096,6904,4595.6,172.3740119623605,4821.2,184.54999322676767
73622,8708.833333333334,470.68775920632,616.3333333333334,233.00700990885804,1.3333333333333333,3.265986323710904,611,7191,4552.6,151.45560405610615,4695.6,169.32306399306623
