codigo_entidad,inf_ingresos_m,inf_financiamiento_m,inf_desempennofiscal_m,inf_igpr_m,inf_nproyectos_m,inf_peducacion_m,inf_psalud_m,inf_regaliaspc_m,inf_vproyectos_m
5697,28154773333.333332,446818333.3333333,75.554,87.07083333333334,1.5,10.746666666666666,56.36,35896.94,146266486
5736,46491855000,4000196666.6666665,66.79599999999999,51.333958333333335,4,9.221666666666668,54.55,126594.02166666667,5303500490
5756,44266238333.333336,4005785000,77.518,70.67625,5,9.395,57.13166666666667,53721.933333333334,13737406
5761,19541908333.333332,2036365000,72.974,73.89895833333333,2,8.305,37.55,50698.34333333333,204276245.5
5789,19805746666.666668,958980000,68.86,63.56333333333333,1.25,7.613333333333333,42.955,34882.566666666666,750099726.3333334
5790,33334668333.333332,730721666.6666666,59.196000000000005,69.39625,7.75,9.475,56.45166666666667,117014.57166666667,4009684306
5792,10193166666.666666,492791666.6666667,66.352,69.555,3,4.696666666666666,26.41166666666667,20804.29666666667,NA
5809,11746201666.666666,440825000.00000006,67.45,63.96041666666667,3.75,6.531666666666666,32.61666666666667,39815.551666666666,673630191
5819,12252801666.666666,693400000,56.772000000000006,74.70979166666666,1,5.69,25.033333333333335,13367.691666666666,94606191
5837,218926703333.33334,16424881666.666666,72.322,65.86833333333334,1.6,66.05166666666666,21.175,48665.85,3262292462.3333335
5842,13629330000,397851666.6666667,67.794,67.54104166666667,1.6,5.761666666666667,27.55,269597.81,14970541638.97
5847,34388353333.333336,-315790000,67.706,52.16791666666666,2.5,8.643333333333334,55.79333333333334,60085.691666666666,2313214090
5854,23905326666.666668,189545000,70.098,64.18520833333334,3.25,7.04,41.60333333333333,107292.86,2355067451
5856,9569783333.333334,96163333.33333333,69.1,60.113958333333336,1.5,4.955,34.13166666666667,39586.45,65792773.666666664
5858,18206900000,1801213333.3333333,67.476,73.04055555555556,2.5,7.025,43.85166666666667,126326.26833333333,716042834
5861,17958868333.333332,171931666.66666666,72.782,75.37041666666667,2.25,7.266666666666667,40.336666666666666,88585.80333333333,15885886032.26
5873,13035038333.333334,700613333.3333334,63.268,72.86833333333334,2.5,8.318333333333333,29.538333333333334,22139.168333333335,287848638
5885,11642373333.333334,869391666.6666666,59.416,79.10138888888889,1.6666666666666667,5,35.165,270778.55666666664,0
5887,43202665000,3352816666.6666665,73.326,76.73666666666666,3.6666666666666665,9.263333333333334,59.14333333333333,52263.45333333334,3781945935.18
5890,25415791666.666668,428358333.3333333,71.374,60.324374999999996,2.2,8.628333333333334,46.266666666666666,21322.024999999998,5849699897
5893,55094038333.333336,-3378648333.3333335,78.928,59.26166666666667,13.25,7.244999999999999,32.45,1154171.9166666667,9871943181.92
5895,35575910000,-1140755000,72.572,54.09458333333333,4,12.341666666666667,50.611666666666665,93698.1,27940315017.395
8001,2333009943333.3335,403981068333.3333,80.738,67.02708333333334,3.3333333333333335,61.63333333333333,28.618333333333332,5050.421666666666,3503905726.193333
8078,46737465000,6835631666.666667,74.72,51.641666666666666,2.5,9.995000000000001,59.266666666666666,40911.79833333333,1115206980.5
8137,25293770000,7027310000,61.862,62.63104166666667,1.25,7.368333333333333,51.22333333333333,59567.543333333335,1090795128
8141,18411021666.666668,-1307063333.3333333,59.336,62.3375,1.25,6.3566666666666665,39.44833333333334,34681.583333333336,4555700115.985
8296,50849696666.666664,859216666.6666666,81.928,60.55583333333333,4,9.058333333333334,50.275,26056.316666666666,4361568513.45
8372,18345705000,1900040000,72.33,62.032916666666665,1.3333333333333333,7.668333333333333,49.68,21442.71,96685180.5
8421,27250370000,-2332828333.3333335,67.12,74.168125,3,9.953333333333333,53.095,21715.885,458334218.475
8433,128773125000,5551890000,75.306,67.69416666666666,1.5,56.105,29.691666666666666,6686.38,2166425694.5
8436,19347375000,1153401666.6666667,63.448,82.284375,2,7.815,45.41166666666667,34793.96166666666,572070891.6666666
8520,22635343333.333332,-1202615000,63.722,52.10520833333333,3.6666666666666665,10.206666666666667,48.31,43642.00166666666,923902599.88
8549,7270498333.333333,-63431666.666666664,60.559999999999995,71.83916666666667,2,4.738333333333333,26.641666666666666,13319.768333333333,362623366.4
8558,15061011666.666666,-49546666.666666664,63.926,64.00020833333333,3.5,7.36,43.77333333333333,42145.63,2917519292.01
8560,21915315000,4362363333.333333,58.78,50.922916666666666,1.4,8.161666666666667,47.986666666666665,110925.18666666666,658662930.2
8573,70441573333.33333,7321560000,82.668,64.79270833333334,1.75,9.9783333333333335,52.638333333333335,336928.51,8602545970.48
8606,21226946666.666668,570576666.6666666,66.36,65.91395833333334,2.4,9.185,52.33,49084.566666666666,612210001
8634,27902645000,3083715000,70.172,56.872083333333336,1.75,9.355,53.65166666666667,121568.865,1113509356.97
8638,67900025000,10356135000,74.686,74.44958333333332,8.25,9.540000000000001,59.71333333333333,13148.906666666666,7399900614.23
8675,14796803333.333334,3220785000,62.796,62.17166666666667,1.25,6.616666666666667,41.41,21929.99,6602194369.95
8685,22783690000,3538153333.3333335,71.514,71.09625,1.6666666666666667,7.571666666666667,54.365,50060.791666666664,2944984684.035
8758,491652096666.6667,36046471666.666664,79.868,NA,1,53.77333333333333,29.003333333333334,0,626587602.24
8770,14284550000,49393333.333333336,67.682,77.07979166666667,1.5,5.88,36.12,29964.620000000003,NA
8832,12244636666.666666,1175658333.3333333,71.636,66.84541666666667,3,6.48,41.428333333333335,46901.013333333336,6808837307.155
8849,9836493333.333334,3480641666.6666665,65.346,72.72479166666668,3.6666666666666665,5.261666666666667,37.056666666666665,46282.335,574590723.6666666
11001,14484546806666.666,1018978305000,84.39399999999999,67.39,12.4,65.97,19.586666666666666,2752.2033333333334,16695979845.563334
13001,1581528345000,-46937441666.666664,78.682,47.906875,9,60.63666666666666,28.475,38333.6,19346450418.916664
13006,29345461666.666668,1661641666.6666667,64.656,72.084375,1.5,10.301666666666666,42.873333333333335,109842.905,2469538207.245
13030,14405471666.666666,-712286666.6666666,51.01,72.50875,1.6666666666666667,6.62,35.519999999999996,118962.56666666667,0
